ID,数学,判定
20014409,7,不合格
20014410,72,B
20014411,79,B
20014412,40,不合格
20014413,29,不合格
20014414,98,A
20014415,67,B
20014416,57,不合格
20014417,92,A
20014418,22,不合格
20014419,15,不合格
20014420,56,不合格
20014421,91,A
20014422,91,A
20014423,89,A
20014424,78,B
20014425,38,不合格
20014426,1,不合格
20014427,52,不合格
20014428,8,不合格
20014429,92,A
20014430,53,不合格
20014431,53,不合格
20014432,23,不合格
20014433,17,不合格
20014434,65,B
20014435,80,A
20014436,12,不合格
20014437,13,不合格
20014438,98,A
20014439,20,不合格
20014440,6,不合格
20014441,30,不合格
20014442,66,B
20014443,27,不合格
20014444,71,B
20014445,97,A
20014446,30,不合格
20014447,75,B
20014448,50,不合格
20014449,2,不合格
20014450,64,B
20014451,18,不合格
20014452,0,不合格
20014453,1,不合格
20014454,31,不合格
20014455,27,不合格
20014456,86,A
20014457,96,A
20014458,27,不合格
20014459,86,A
20014460,60,B
20014461,78,B
20014462,42,不合格
20014463,4,不合格
20014464,13,不合格
20014465,39,不合格
20014466,47,不合格
20014467,58,不合格
20014468,65,B
20014469,85,A
20014470,75,B
20014471,84,A
20014472,63,B
20014473,38,不合格
20014474,82,A
20014475,0,不合格
20014476,51,不合格
20014477,68,B
20014478,24,不合格
20014479,35,不合格
20014480,88,A
20014481,60,B
20014482,42,不合格
20014483,26,不合格
20014484,58,不合格
20014485,83,A
20014486,65,B
20014487,3,不合格
20014488,54,不合格
20014489,34,不合格
20014490,20,不合格
20014491,6,不合格
20014492,31,不合格
20014493,10,不合格
20014494,27,不合格
20014495,24,不合格
20014496,6,不合格
20014497,96,A
20014498,21,不合格
20014499,3,不合格
20014500,96,A
20014501,27,不合格
20014502,67,B
20014503,85,A
20014504,9,不合格
20014505,97,A
20014506,81,A
20014507,47,不合格
20014508,92,A
20014509,77,B
20014510,62,B
20014511,70,B
20014512,68,B
20014513,84,A
20014514,54,不合格
20014515,9,不合格
20014516,11,不合格
20014517,43,不合格
20014518,7,不合格
20014519,54,不合格
20014520,21,不合格
20014521,20,不合格
20014522,50,不合格
20014523,44,不合格
20014524,57,不合格
20014525,41,不合格
20014526,9,不合格
20014527,96,A
20014528,57,不合格
20014529,23,不合格
20014530,67,B
20014531,35,不合格
20014532,24,不合格
20014533,16,不合格
20014534,64,B
20014535,33,不合格
20014536,3,不合格
20014537,57,不合格
20014538,41,不合格
20014539,80,A
20014540,41,不合格
20014541,20,不合格
20014542,47,不合格
20014543,53,不合格
20014544,0,不合格
20014545,81,A
20014546,7,不合格
20014547,57,不合格
20014548,32,不合格
20014549,50,不合格
20014550,74,B
20014551,42,不合格
20014552,47,不合格
20014553,26,不合格
20014554,15,不合格
20014555,42,不合格
20014556,20,不合格
20014557,1,不合格
20014558,17,不合格
20014559,88,A
20014560,76,B
20014561,45,不合格
20014562,39,不合格
20014563,88,A
20014564,76,B
20014565,77,B
20014566,39,不合格
20014567,11,不合格
20014568,96,A
20014569,97,A
20014570,86,A
20014571,64,B
20014572,30,不合格
20014573,91,A
20014574,84,A
20014575,6,不合格
20014576,81,A
20014577,73,B
20014578,55,不合格
20014579,64,B
20014580,40,不合格
20014581,42,不合格
20014582,72,B
20014583,44,不合格
20014584,69,B
20014585,69,B
20014586,3,不合格
20014587,34,不合格
20014588,88,A
20014589,65,B
20014590,47,不合格
20014591,84,A
20014592,73,B
20014593,53,不合格
20014594,95,A
20014595,93,A
20014596,71,B
20014597,65,B
20014598,70,B
20014599,5,不合格
20014600,30,不合格
20014601,40,不合格
20014602,88,A
20014603,21,不合格
20014604,5,不合格
20014605,22,不合格
20014606,56,不合格
20014607,7,不合格
20014608,68,B
20014609,24,不合格
20014610,34,不合格
20014611,52,不合格
20014612,88,A
20014613,1,不合格
20014614,51,不合格
20014615,62,B
20014616,68,B
20014617,22,不合格
20014618,10,不合格
20014619,31,不合格
20014620,32,不合格
20014621,34,不合格
20014622,67,B
20014623,73,B
20014624,39,不合格
20014625,17,不合格
20014626,39,不合格
20014627,3,不合格
20014628,63,B
20014629,97,A
20014630,46,不合格
20014631,96,A
20014632,45,不合格
20014633,54,不合格
20014634,3,不合格
20014635,72,B
20014636,53,不合格
20014637,56,不合格
20014638,16,不合格
20014639,6,不合格
20014640,26,不合格
20014641,78,B
20014642,24,不合格
20014643,61,B
20014644,56,不合格
20014645,42,不合格
20014646,58,不合格
20014647,15,不合格
20014648,47,不合格
20014649,42,不合格
20014650,78,B
20014651,90,A
20014652,94,A
20014653,68,B
20014654,18,不合格
20014655,28,不合格
20014656,3,不合格
20014657,73,B
20014658,38,不合格
20014659,96,A
20014660,77,B
20014661,43,不合格
20014662,68,B
20014663,65,B
20014664,57,不合格
20014665,34,不合格
20014666,19,不合格
20014667,66,B
20014668,99,A
20014669,54,不合格
20014670,54,不合格
20014671,24,不合格
20014672,92,A
20014673,86,A
20014674,59,不合格
20014675,65,B
20014676,69,B
20014677,22,不合格
20014678,59,不合格
20014679,42,不合格
20014680,78,B
20014681,51,不合格
20014682,1,不合格
20014683,87,A
20014684,65,B
20014685,29,不合格
20014686,95,A
20014687,70,B
20014688,9,不合格
20014689,33,不合格
20014690,9,不合格
20014691,49,不合格
20014692,56,不合格
20014693,55,不合格
20014694,31,不合格
20014695,29,不合格
20014696,9,不合格
20014697,52,不合格
20014698,84,A
20014699,11,不合格
20014700,39,不合格
20014701,53,不合格
20014702,9,不合格
20014703,22,不合格
20014704,93,A
20014705,74,B
20014706,81,A
20014707,48,不合格
20014708,3,不合格
20014709,41,不合格
20014710,87,A
20014711,94,A
20014712,17,不合格
20014713,91,A
20014714,35,不合格
20014715,92,A
20014716,39,不合格
20014717,70,B
20014718,49,不合格
20014719,35,不合格
20014720,93,A
20014721,85,A
20014722,33,不合格
20014723,42,不合格
20014724,65,B
20014725,43,不合格
20014726,48,不合格
20014727,71,B
20014728,60,B
20014729,9,不合格
20014730,71,B
20014731,55,不合格
20014732,77,B
20014733,27,不合格
20014734,96,A
20014735,64,B
20014736,3,不合格
20014737,94,A
20014738,41,不合格
20014739,53,不合格
20014740,30,不合格
20014741,54,不合格
20014742,20,不合格
20014743,57,不合格
20014744,59,不合格
20014745,60,B
20014746,30,不合格
20014747,83,A
20014748,30,不合格
20014749,78,B
20014750,42,不合格
20014751,33,不合格
20014752,25,不合格
20014753,87,A
20014754,60,B
20014755,17,不合格
20014756,25,不合格
20014757,73,B
20014758,73,B
20014759,74,B
20014760,15,不合格
20014761,76,B
20014762,83,A
20014763,8,不合格
20014764,92,A
20014765,80,A
20014766,8,不合格
20014767,34,不合格
20014768,99,A
20014769,17,不合格
20014770,85,A
20014771,78,B
20014772,31,不合格
20014773,57,不合格
20014774,47,不合格
20014775,39,不合格
20014776,42,不合格
20014777,9,不合格
20014778,19,不合格
20014779,53,不合格
20014780,43,不合格
20014781,68,B
20014782,54,不合格
20014783,68,B
20014784,77,B
20014785,90,A
20014786,34,不合格
20014787,36,不合格
20014788,81,A
20014789,66,B
20014790,46,不合格
20014791,65,B
20014792,48,不合格
20014793,59,不合格
20014794,40,不合格
20014795,31,不合格
20014796,77,B
20014797,80,A
20014798,21,不合格
20014799,80,A
20014800,99,A
20014801,72,B
20014802,38,不合格
20014803,82,A
20014804,70,B
20014805,22,不合格
20014806,22,不合格
20014807,15,不合格
20014808,74,B
20014809,12,不合格
20014810,35,不合格
20014811,18,不合格
20014812,4,不合格
20014813,17,不合格
20014814,96,A
20014815,14,不合格
20014816,91,A
20014817,55,不合格
20014818,23,不合格
20014819,52,不合格
20014820,49,不合格
20014821,13,不合格
20014822,40,不合格
20014823,85,A
20014824,43,不合格
20014825,52,不合格
20014826,42,不合格
20014827,76,B
20014828,94,A
20014829,76,B
20014830,85,A
20014831,24,不合格
20014832,11,不合格
20014833,66,B
20014834,68,B
20014835,89,A
20014836,67,B
20014837,11,不合格
20014838,9,不合格
20014839,50,不合格
20014840,31,不合格
20014841,48,不合格
20014842,98,A
20014843,26,不合格
20014844,12,不合格
20014845,98,A
20014846,13,不合格
20014847,51,不合格
20014848,16,不合格
20014849,95,A
20014850,2,不合格
20014851,80,A
20014852,12,不合格
20014853,59,不合格
20014854,76,B
20014855,18,不合格
20014856,84,A
20014857,9,不合格
20014858,23,不合格
20014859,29,不合格
20014860,41,不合格
20014861,51,不合格
20014862,75,B
20014863,62,B
20014864,66,B
20014865,9,不合格
20014866,37,不合格
20014867,57,不合格
20014868,25,不合格
20014869,71,B
20014870,18,不合格
20014871,42,不合格
20014872,85,A
20014873,26,不合格
20014874,84,A
20014875,42,不合格
20014876,9,不合格
20014877,84,A
20014878,37,不合格
20014879,85,A
20014880,96,A
20014881,40,不合格
20014882,94,A
20014883,54,不合格
20014884,27,不合格
20014885,3,不合格
20014886,36,不合格
20014887,34,不合格
20014888,25,不合格
20014889,85,A
20014890,31,不合格
20014891,22,不合格
20014892,22,不合格
20014893,79,B
20014894,42,不合格
20014895,72,B
20014896,54,不合格
20014897,94,A
20014898,47,不合格
20014899,1,不合格
20014900,52,不合格
20014901,78,B
20014902,32,不合格
20014903,94,A
20014904,77,B
20014905,18,不合格
20014906,86,A
20014907,43,不合格
20014908,88,A
20014909,9,不合格
20014910,75,B
20014911,19,不合格
20014912,64,B
20014913,54,不合格
20014914,84,A
20014915,5,不合格
20014916,90,A
20014917,79,B
20014918,19,不合格
20014919,72,B
20014920,74,B
20014921,58,不合格
20014922,15,不合格
20014923,13,不合格
20014924,30,不合格
20014925,64,B
20014926,67,B
20014927,53,不合格
20014928,52,不合格
20014929,5,不合格
20014930,1,不合格
20014931,41,不合格
20014932,45,不合格
20014933,57,不合格
20014934,37,不合格
20014935,50,不合格
20014936,21,不合格
20014937,57,不合格
20014938,93,A
20014939,55,不合格
20014940,68,B
20014941,95,A
20014942,47,不合格
20014943,64,B
20014944,22,不合格
20014945,62,B
20014946,48,不合格
20014947,81,A
20014948,86,A
20014949,44,不合格
20014950,78,B
20014951,24,不合格
20014952,55,不合格
20014953,36,不合格
20014954,36,不合格
20014955,97,A
20014956,2,不合格
20014957,8,不合格
20014958,5,不合格
20014959,58,不合格
20014960,6,不合格
20014961,78,B
20014962,49,不合格
20014963,69,B
20014964,33,不合格
20014965,64,B
20014966,23,不合格
20014967,6,不合格
20014968,64,B
20014969,84,A
20014970,74,B
20014971,36,不合格
20014972,59,不合格
20014973,4,不合格
20014974,43,不合格
20014975,8,不合格
20014976,22,不合格
20014977,50,不合格
20014978,11,不合格
20014979,13,不合格
20014980,12,不合格
20014981,34,不合格
20014982,9,不合格
20014983,99,A
20014984,81,A
20014985,54,不合格
20014986,17,不合格
20014987,67,B
20014988,23,不合格
20014989,5,不合格
20014990,63,B
20014991,63,B
20014992,83,A
20014993,92,A
20014994,60,B
20014995,36,不合格
20014996,25,不合格
20014997,82,A
20014998,57,不合格
20014999,89,A
20015000,70,B
20015001,57,不合格
20015002,57,不合格
20015003,0,不合格
20015004,92,A
20015005,95,A
20015006,48,不合格
20015007,82,A
20015008,71,B
20015009,41,不合格
20015010,28,不合格
20015011,63,B
20015012,89,A
20015013,46,不合格
20015014,28,不合格
20015015,77,B
20015016,49,不合格
20015017,1,不合格
20015018,30,不合格
20015019,62,B
20015020,64,B
20015021,27,不合格
20015022,24,不合格
20015023,31,不合格
20015024,61,B
20015025,67,B
20015026,38,不合格
20015027,62,B
20015028,20,不合格
20015029,84,A
20015030,71,B
20015031,73,B
20015032,65,B
20015033,23,不合格
20015034,64,B
20015035,93,A
20015036,75,B
20015037,47,不合格
20015038,71,B
20015039,54,不合格
20015040,27,不合格
20015041,30,不合格
20015042,11,不合格
20015043,57,不合格
20015044,48,不合格
20015045,93,A
20015046,75,B
20015047,7,不合格
20015048,41,不合格
20015049,98,A
20015050,38,不合格
20015051,0,不合格
20015052,71,B
20015053,14,不合格
20015054,91,A
20015055,32,不合格
20015056,32,不合格
20015057,4,不合格
20015058,56,不合格
20015059,99,A
20015060,45,不合格
20015061,55,不合格
20015062,63,B
20015063,53,不合格
20015064,87,A
20015065,55,不合格
20015066,79,B
20015067,25,不合格
20015068,15,不合格
20015069,56,不合格
20015070,83,A
20015071,56,不合格
20015072,86,A
20015073,41,不合格
20015074,65,B
20015075,97,A
20015076,84,A
20015077,67,B
20015078,41,不合格
20015079,99,A
20015080,35,不合格
20015081,73,B
20015082,84,A
20015083,1,不合格
20015084,10,不合格
20015085,90,A
20015086,83,A
20015087,50,不合格
20015088,43,不合格
20015089,72,B
20015090,2,不合格
20015091,87,A
20015092,31,不合格
20015093,54,不合格
20015094,48,不合格
20015095,17,不合格
20015096,92,A
20015097,26,不合格
20015098,53,不合格
20015099,6,不合格
20015100,33,不合格
20015101,39,不合格
20015102,49,不合格
20015103,43,不合格
20015104,33,不合格
20015105,86,A
20015106,87,A
20015107,10,不合格
20015108,21,不合格
20015109,51,不合格
20015110,7,不合格
20015111,36,不合格
20015112,57,不合格
20015113,90,A
20015114,0,不合格
20015115,8,不合格
20015116,48,不合格
20015117,58,不合格
20015118,81,A
20015119,98,A
20015120,47,不合格
20015121,63,B
20015122,0,不合格
20015123,2,不合格
20015124,8,不合格
20015125,29,不合格
20015126,47,不合格
20015127,6,不合格
20015128,40,不合格
20015129,32,不合格
20015130,53,不合格
20015131,74,B
20015132,91,A
20015133,12,不合格
20015134,59,不合格
20015135,79,B
20015136,24,不合格
20015137,90,A
20015138,0,不合格
20015139,4,不合格
20015140,22,不合格
20015141,60,B
20015142,39,不合格
20015143,24,不合格
20015144,24,不合格
20015145,68,B
20015146,24,不合格
20015147,31,不合格
20015148,76,B
20015149,92,A
20015150,50,不合格
20015151,86,A
20015152,4,不合格
20015153,66,B
20015154,65,B
20015155,60,B
20015156,53,不合格
20015157,26,不合格
20015158,51,不合格
20015159,69,B
20015160,79,B
20015161,33,不合格
20015162,68,B
20015163,34,不合格
20015164,92,A
20015165,85,A
20015166,24,不合格
20015167,35,不合格
20015168,81,A
20015169,76,B
20015170,74,B
20015171,54,不合格
20015172,18,不合格
20015173,37,不合格
20015174,27,不合格
20015175,84,A
20015176,25,不合格
20015177,20,不合格
20015178,25,不合格
20015179,72,B
20015180,20,不合格
20015181,53,不合格
20015182,18,不合格
20015183,62,B
20015184,94,A
20015185,69,B
20015186,14,不合格
20015187,70,B
20015188,84,A
20015189,18,不合格
20015190,44,不合格
20015191,60,B
20015192,58,不合格
20015193,23,不合格
20015194,18,不合格
20015195,58,不合格
20015196,62,B
20015197,17,不合格
20015198,7,不合格
20015199,27,不合格
20015200,32,不合格
20015201,22,不合格
20015202,93,A
20015203,40,不合格
20015204,78,B
20015205,82,A
20015206,51,不合格
20015207,2,不合格
20015208,52,不合格
20015209,5,不合格
20015210,50,不合格
20015211,91,A
20015212,98,A
20015213,91,A
20015214,60,B
20015215,62,B
20015216,33,不合格
20015217,75,B
20015218,37,不合格
20015219,7,不合格
20015220,24,不合格
20015221,53,不合格
20015222,39,不合格
20015223,7,不合格
20015224,45,不合格
20015225,30,不合格
20015226,95,A
20015227,38,不合格
20015228,36,不合格
20015229,36,不合格
20015230,93,A
20015231,91,A
20015232,11,不合格
20015233,14,不合格
20015234,87,A
20015235,28,不合格
20015236,93,A
20015237,77,B
20015238,6,不合格
20015239,66,B
20015240,19,不合格
20015241,13,不合格
20015242,29,不合格
20015243,85,A
20015244,18,不合格
20015245,64,B
20015246,61,B
20015247,90,A
20015248,85,A
20015249,28,不合格
20015250,51,不合格
20015251,13,不合格
20015252,61,B
20015253,72,B
20015254,73,B
20015255,63,B
20015256,92,A
20015257,45,不合格
20015258,74,B
20015259,31,不合格
20015260,3,不合格
20015261,24,不合格
20015262,69,B
20015263,15,不合格
20015264,73,B
20015265,67,B
20015266,13,不合格
20015267,95,A
20015268,97,A
20015269,15,不合格
20015270,61,B
20015271,10,不合格
20015272,24,不合格
20015273,2,不合格
20015274,80,A
20015275,84,A
20015276,83,A
20015277,88,A
20015278,21,不合格
20015279,18,不合格
20015280,27,不合格
20015281,84,A
20015282,60,B
20015283,2,不合格
20015284,89,A
20015285,63,B
20015286,8,不合格
20015287,47,不合格
20015288,2,不合格
20015289,55,不合格
20015290,15,不合格
20015291,4,不合格
20015292,50,不合格
20015293,85,A
20015294,89,A
20015295,96,A
20015296,10,不合格
20015297,30,不合格
20015298,26,不合格
20015299,87,A
20015300,15,不合格
20015301,50,不合格
20015302,97,A
20015303,67,B
20015304,90,A
20015305,79,B
20015306,34,不合格
20015307,84,A
20015308,27,不合格
20015309,62,B
20015310,27,不合格
20015311,49,不合格
20015312,18,不合格
20015313,49,不合格
20015314,15,不合格
20015315,34,不合格
20015316,96,A
20015317,61,B
20015318,0,不合格
20015319,44,不合格
20015320,90,A
20015321,13,不合格
20015322,7,不合格
20015323,80,A
20015324,62,B
20015325,81,A
20015326,26,不合格
20015327,32,不合格
20015328,33,不合格
20015329,24,不合格
20015330,22,不合格
20015331,26,不合格
20015332,93,A
20015333,53,不合格
20015334,11,不合格
20015335,87,A
20015336,41,不合格
20015337,15,不合格
20015338,41,不合格
20015339,43,不合格
20015340,39,不合格
20015341,59,不合格
20015342,56,不合格
20015343,17,不合格
20015344,39,不合格
20015345,90,A
20015346,6,不合格
20015347,76,B
20015348,33,不合格
20015349,21,不合格
20015350,97,A
20015351,92,A
20015352,65,B
20015353,75,B
20015354,50,不合格
20015355,90,A
20015356,70,B
20015357,17,不合格
20015358,46,不合格
20015359,22,不合格
20015360,69,B
20015361,65,B
20015362,19,不合格
20015363,33,不合格
20015364,98,A
20015365,22,不合格
20015366,13,不合格
20015367,89,A
20015368,24,不合格
20015369,85,A
20015370,18,不合格
20015371,3,不合格
20015372,36,不合格
20015373,92,A
20015374,4,不合格
20015375,75,B
20015376,92,A
20015377,37,不合格
20015378,19,不合格
20015379,26,不合格
20015380,60,B
20015381,53,不合格
20015382,2,不合格
20015383,84,A
20015384,6,不合格
20015385,67,B
20015386,94,A
20015387,20,不合格
20015388,57,不合格
20015389,40,不合格
20015390,36,不合格
20015391,60,B
20015392,57,不合格
20015393,88,A
20015394,57,不合格
20015395,83,A
20015396,50,不合格
20015397,84,A
20015398,71,B
20015399,86,A
20015400,47,不合格
20015401,10,不合格
20015402,87,A
20015403,8,不合格
20015404,29,不合格
20015405,70,B
20015406,93,A
20015407,65,B
20015408,50,不合格
20015409,5,不合格
20015410,42,不合格
20015411,66,B
20015412,73,B
20015413,45,不合格
20015414,99,A
20015415,98,A
20015416,18,不合格
20015417,8,不合格
20015418,71,B
20015419,51,不合格
20015420,0,不合格
20015421,54,不合格
20015422,20,不合格
20015423,80,A
20015424,19,不合格
20015425,82,A
20015426,66,B
20015427,54,不合格
20015428,83,A
20015429,5,不合格
20015430,45,不合格
20015431,28,不合格
20015432,52,不合格
20015433,94,A
20015434,33,不合格
20015435,99,A
20015436,3,不合格
20015437,1,不合格
20015438,33,不合格
20015439,56,不合格
20015440,31,不合格
20015441,87,A
20015442,51,不合格
20015443,96,A
20015444,9,不合格
20015445,44,不合格
20015446,12,不合格
20015447,48,不合格
20015448,70,B
20015449,91,A
20015450,82,A
20015451,63,B
20015452,73,B
20015453,29,不合格
20015454,55,不合格
20015455,58,不合格
20015456,13,不合格
20015457,11,不合格
20015458,13,不合格
20015459,34,不合格
20015460,91,A
20015461,33,不合格
20015462,65,B
20015463,11,不合格
20015464,33,不合格
20015465,61,B
20015466,45,不合格
20015467,41,不合格
20015468,39,不合格
20015469,88,A
20015470,68,B
20015471,49,不合格
20015472,75,B
20015473,72,B
20015474,73,B
20015475,2,不合格
20015476,12,不合格
20015477,73,B
20015478,5,不合格
20015479,33,不合格
20015480,23,不合格
20015481,53,不合格
20015482,17,不合格
20015483,3,不合格
20015484,77,B
20015485,78,B
20015486,83,A
20015487,41,不合格
20015488,58,不合格
20015489,16,不合格
20015490,64,B
20015491,29,不合格
20015492,17,不合格
20015493,5,不合格
20015494,28,不合格
20015495,5,不合格
20015496,33,不合格
20015497,70,B
20015498,24,不合格
20015499,26,不合格
20015500,6,不合格
20020001,42,不合格
20020002,87,A
20020003,38,不合格
20020004,35,不合格
20020005,26,不合格
20020006,68,B
20020007,16,不合格
20020008,78,B
20020009,58,不合格
20020010,64,B
20020011,35,不合格
20020012,65,B
20020013,22,不合格
20020014,46,不合格
20020015,86,A
20020016,85,A
20020017,35,不合格
20020018,31,不合格
20020019,98,A
20020020,3,不合格
20020021,77,B
20020022,60,B
20020023,94,A
20020024,24,不合格
20020025,65,B
20020026,18,不合格
20020027,80,A
20020028,81,A
20020029,49,不合格
20020030,36,不合格
20020031,34,不合格
20020032,98,A
20020033,50,不合格
20020034,71,B
20020035,44,不合格
20020036,60,B
20020037,82,A
20020038,23,不合格
20020039,56,不合格
20020040,88,A
20020041,95,A
20020042,62,B
20020043,49,不合格
20020044,8,不合格
20020045,54,不合格
20020046,49,不合格
20020047,7,不合格
20020048,67,B
20020049,55,不合格
20020050,40,不合格
20020051,45,不合格
20020052,90,A
20020053,61,B
20020054,88,A
20020055,16,不合格
20020056,61,B
20020057,18,不合格
20020058,46,不合格
20020059,86,A
20020060,6,不合格
20020061,34,不合格
20020062,30,不合格
20020063,53,不合格
20020064,14,不合格
20020065,69,B
20020066,48,不合格
20020067,38,不合格
20020068,38,不合格
20020069,16,不合格
20020070,82,A
20020071,26,不合格
20020072,68,B
20020073,70,B
20020074,88,A
20020075,32,不合格
20020076,24,不合格
20020077,54,不合格
20020078,30,不合格
20020079,74,B
20020080,10,不合格
20020081,95,A
20020082,20,不合格
20020083,30,不合格
20020084,28,不合格
20020085,47,不合格
20020086,80,A
20020087,87,A
20020088,19,不合格
20020089,30,不合格
20020090,69,B
20020091,10,不合格
20020092,20,不合格
20020093,73,B
20020094,28,不合格
20020095,21,不合格
20020096,54,不合格
20020097,36,不合格
20020098,64,B
20020099,68,B
20020100,39,不合格
20020101,88,A
20020102,48,不合格
20020103,35,不合格
20020104,73,B
20020105,12,不合格
20020106,8,不合格
20020107,87,A
20020108,23,不合格
20020109,36,不合格
20020110,58,不合格
20020111,75,B
20020112,87,A
20020113,40,不合格
20020114,85,A
20020115,22,不合格
20020116,47,不合格
20020117,97,A
20020118,48,不合格
20020119,36,不合格
20020120,72,B
20020121,66,B
20020122,43,不合格
20020123,26,不合格
20020124,4,不合格
20020125,56,不合格
20020126,96,A
20020127,93,A
20020128,7,不合格
20020129,25,不合格
20020130,76,B
20020131,86,A
20020132,51,不合格
20020133,50,不合格
20020134,14,不合格
20020135,93,A
20020136,6,不合格
20020137,70,B
20020138,23,不合格
20020139,82,A
20020140,85,A
20020141,87,A
20020142,28,不合格
20020143,93,A
20020144,54,不合格
20020145,13,不合格
20020146,1,不合格
20020147,70,B
20020148,68,B
20020149,59,不合格
20020150,16,不合格
20020151,61,B
20020152,57,不合格
20020153,39,不合格
20020154,10,不合格
20020155,6,不合格
20020156,9,不合格
20020157,36,不合格
20020158,78,B
20020159,42,不合格
20020160,9,不合格
20020161,98,A
20020162,52,不合格
20020163,7,不合格
20020164,34,不合格
20020165,36,不合格
20020166,4,不合格
20020167,88,A
20020168,79,B
20020169,46,不合格
20020170,76,B
20020171,13,不合格
20020172,59,不合格
20020173,46,不合格
20020174,25,不合格
20020175,11,不合格
20020176,12,不合格
20020177,55,不合格
20020178,19,不合格
20020179,17,不合格
20020180,82,A
20020181,86,A
20020182,61,B
20020183,50,不合格
20020184,47,不合格
20020185,15,不合格
20020186,3,不合格
20020187,17,不合格
20020188,65,B
20020189,62,B
20020190,82,A
20020191,5,不合格
20020192,48,不合格
20020193,57,不合格
20020194,27,不合格
20020195,51,不合格
20020196,80,A
20020197,68,B
20020198,66,B
20020199,77,B
20020200,48,不合格
20020201,85,A
20020202,61,B
20020203,43,不合格
20020204,80,A
20020205,34,不合格
20020206,74,B
20020207,88,A
20020208,2,不合格
20020209,44,不合格
20020210,47,不合格
20020211,2,不合格
20020212,73,B
20020213,14,不合格
20020214,49,不合格
20020215,92,A
20020216,0,不合格
20020217,35,不合格
20020218,3,不合格
20020219,1,不合格
20020220,33,不合格
20020221,32,不合格
20020222,83,A
20020223,14,不合格
20020224,16,不合格
20020225,20,不合格
20020226,23,不合格
20020227,61,B
20020228,49,不合格
20020229,51,不合格
20020230,45,不合格
20020231,99,A
20020232,16,不合格
20020233,77,B
20020234,37,不合格
20020235,19,不合格
20020236,98,A
20020237,54,不合格
20020238,92,A
20020239,70,B
20020240,1,不合格
20020241,4,不合格
20020242,20,不合格
20020243,18,不合格
20020244,64,B
20020245,62,B
20020246,67,B
20020247,72,B
20020248,56,不合格
20020249,85,A
20020250,79,B
20020251,49,不合格
20020252,30,不合格
20020253,53,不合格
20020254,44,不合格
20020255,57,不合格
20020256,75,B
20020257,98,A
20020258,26,不合格
20020259,19,不合格
20020260,50,不合格
20020261,72,B
20020262,66,B
20020263,23,不合格
20020264,28,不合格
20020265,40,不合格
20020266,94,A
20020267,40,不合格
20020268,89,A
20020269,97,A
20020270,78,B
20020271,73,B
20020272,86,A
20020273,15,不合格
20020274,74,B
20020275,6,不合格
20020276,71,B
20020277,46,不合格
20020278,81,A
20020279,89,A
20020280,35,不合格
20020281,57,不合格
20020282,45,不合格
20020283,15,不合格
20020284,64,B
20020285,51,不合格
20020286,87,A
20020287,80,A
20020288,58,不合格
20020289,70,B
20020290,96,A
20020291,89,A
20020292,47,不合格
20020293,1,不合格
20020294,46,不合格
20020295,50,不合格
20020296,4,不合格
20020297,61,B
20020298,0,不合格
20020299,77,B
20020300,9,不合格
20020301,61,B
20020302,49,不合格
20020303,69,B
20020304,97,A
20020305,88,A
20020306,42,不合格
20020307,70,B
20020308,8,不合格
20020309,32,不合格
20020310,14,不合格
20020311,0,不合格
20020312,99,A
20020313,69,B
20020314,15,不合格
20020315,69,B
20020316,14,不合格
20020317,40,不合格
20020318,47,不合格
20020319,91,A
20020320,80,A
20020321,25,不合格
20020322,86,A
20020323,49,不合格
20020324,75,B
20020325,62,B
20020326,60,B
20020327,19,不合格
20020328,13,不合格
20020329,45,不合格
20020330,37,不合格
20020331,5,不合格
20020332,94,A
20020333,99,A
20020334,57,不合格
20020335,16,不合格
20020336,64,B
20020337,42,不合格
20020338,22,不合格
20020339,54,不合格
20020340,77,B
20020341,86,A
20020342,56,不合格
20020343,40,不合格
20020344,1,不合格
20020345,77,B
20020346,26,不合格
20020347,86,A
20020348,6,不合格
20020349,0,不合格
20020350,2,不合格
20020351,43,不合格
20020352,10,不合格
20020353,14,不合格
20020354,42,不合格
20020355,82,A
20020356,62,B
20020357,41,不合格
20020358,8,不合格
20020359,20,不合格
20020360,56,不合格
20020361,13,不合格
20020362,69,B
20020363,54,不合格
20020364,28,不合格
20020365,38,不合格
20020366,26,不合格
20020367,30,不合格
20020368,19,不合格
20020369,12,不合格
20020370,77,B
20020371,29,不合格
20020372,77,B
20020373,19,不合格
20020374,81,A
20020375,29,不合格
20020376,91,A
20020377,9,不合格
20020378,65,B
20020379,65,B
20020380,16,不合格
20020381,92,A
20020382,39,不合格
20020383,30,不合格
20020384,84,A
20020385,33,不合格
20020386,68,B
20020387,89,A
20020388,45,不合格
20020389,15,不合格
20020390,38,不合格
20020391,15,不合格
20020392,23,不合格
20020393,75,B
20020394,40,不合格
20020395,85,A
20020396,22,不合格
20020397,58,不合格
20020398,1,不合格
20020399,48,不合格
20020400,28,不合格
20020401,56,不合格
20020402,76,B
20020403,75,B
20020404,87,A
20020405,40,不合格
20020406,61,B
20020407,97,A
20020408,25,不合格
20020409,39,不合格
20020410,98,A
20020411,60,B
20020412,20,不合格
20020413,85,A
20020414,95,A
20020415,19,不合格
20020416,41,不合格
20020417,19,不合格
20020418,7,不合格
20020419,10,不合格
20020420,49,不合格
20020421,63,B
20020422,10,不合格
20020423,17,不合格
20020424,54,不合格
20020425,47,不合格
20020426,65,B
